桥名,始建朝代,始建年份,所在省份,所在城市,经度,纬度,桥梁总长_米,最大单孔跨度_米,桥面宽度_米,桥墩数量,孔数,桥梁类型,主要材质,历史保护级别,毁坏或重修次数,著名古诗词或典故
赵州桥,隋,605,河北省,石家庄市赵县,114.768,37.719,64.4,37.02,9,0,1,拱桥,石,国保,多次重修,"水从碧玉环中过,人在苍龙背上行"
卢沟桥,金,1189,北京市,丰台区,116.217,39.856,266.5,13.5,9.3,10,11,拱桥,石,国保,多次修缮,卢沟晓月
广济桥,宋,1171,广东省,潮州市,116.623,23.679,518,13.7,约6,18,24,梁桥与浮桥结合,石/木,国保,多次,"十八梭船廿四洲"
洛阳桥,宋,1053,福建省,泉州市,118.675,24.957,834,约11,7,46,47,梁桥,石,国保,多次,"洛阳之桥天下奇"
安平桥,南宋,1138,福建省,泉州市,118.449,24.712,2255,8,3.5,361,362,梁桥,石,国保,多次,"天下无桥长此桥"
泸定桥,清,1706,四川省,甘孜州泸定县,102.235,29.914,103.6,约100,3,0,0,索桥,铁,国保,多次,飞夺泸定桥
霁虹桥,明,成化年间,云南省,保山市,99.0,25.2,,,.,.,.,索桥,铁/藤,已毁,多次,西南丝路要津
二十四桥,唐,唐代,江苏省,扬州市,119.43,32.39,,,.,.,.,拱桥,石,省保,重建,"天下三分明月夜,二分无赖是扬州"
枫桥,唐,唐代,江苏省,苏州市,120.574,31.318,26,约4,4.5,1,1,拱桥,石,省保,多次,枫桥夜泊
玉带桥,清,乾隆年间,北京市,海淀区颐和园,116.275,39.999,36,约10,4.5,0,1,拱桥,石,国保,修缮,颐和园名桥
程阳永济桥,清,1910,广西壮族自治区,柳州市三江,109.6,25.8,64.4,14.2,3.4,4,5,梁桥,木/石,国保,重修,侗族风雨桥代表
普济桥,金,1189,山西省,原平市,112.7,38.7,30,约8,5,2,3,拱桥,石,省保,修缮,
通济桥,明,明初,浙江省,宁波市,121.55,29.87,约90,约12,5,6,7,拱桥,石,省保,多次,
八字桥,宋,南宋,浙江省,绍兴市,120.585,30.002,约5,约4,3,0,1,梁桥,石,国保,修缮,现存最早立交
断桥,唐,唐代,浙江省,杭州市,120.141,30.257,约8.8,约6,约6,0,1,拱桥,石,省保,多次,白蛇传
